graph_nr,metric_name,_metric_value,save_name,node
0.0,density,0.46775510204081633,sequential_ollama/gemma4:26b_w_reason,
0.0,avg_clustering_coef,0.9362092616432551,sequential_ollama/gemma4:26b_w_reason,
0.0,prop_nodes_lcc,1.0,sequential_ollama/gemma4:26b_w_reason,
0.0,radius,0.5112444372706629,sequential_ollama/gemma4:26b_w_reason,
0.0,diameter,0.7668666559059943,sequential_ollama/gemma4:26b_w_reason,
0.0,avg_shortest_path,0.48766459179654664,sequential_ollama/gemma4:26b_w_reason,
0.0,modularity,0.48721252158657924,sequential_ollama/gemma4:26b_w_reason,
1.0,density,0.4546938775510204,sequential_ollama/gemma4:26b_w_reason,
1.0,avg_clustering_coef,0.9340455400688811,sequential_ollama/gemma4:26b_w_reason,
1.0,prop_nodes_lcc,1.0,sequential_ollama/gemma4:26b_w_reason,
1.0,radius,0.5112444372706629,sequential_ollama/gemma4:26b_w_reason,
1.0,diameter,1.0224888745413259,sequential_ollama/gemma4:26b_w_reason,
1.0,avg_shortest_path,0.5135398204584087,sequential_ollama/gemma4:26b_w_reason,
1.0,modularity,0.4942014317532047,sequential_ollama/gemma4:26b_w_reason,
2.0,density,0.42448979591836733,sequential_ollama/gemma4:26b_w_reason,
2.0,avg_clustering_coef,0.9205666740865961,sequential_ollama/gemma4:26b_w_reason,
2.0,prop_nodes_lcc,1.0,sequential_ollama/gemma4:26b_w_reason,
2.0,radius,0.7668666559059943,sequential_ollama/gemma4:26b_w_reason,
2.0,diameter,1.2781110931766573,sequential_ollama/gemma4:26b_w_reason,
2.0,avg_shortest_path,0.6233008710724368,sequential_ollama/gemma4:26b_w_reason,
2.0,modularity,0.4972614644970415,sequential_ollama/gemma4:26b_w_reason,
3.0,density,0.46122448979591835,sequential_ollama/gemma4:26b_w_reason,
3.0,avg_clustering_coef,0.9488872775599387,sequential_ollama/gemma4:26b_w_reason,
3.0,prop_nodes_lcc,1.0,sequential_ollama/gemma4:26b_w_reason,
3.0,radius,0.5112444372706629,sequential_ollama/gemma4:26b_w_reason,
3.0,diameter,1.0224888745413259,sequential_ollama/gemma4:26b_w_reason,
3.0,avg_shortest_path,0.5135398204584087,sequential_ollama/gemma4:26b_w_reason,
3.0,modularity,0.4958947450857545,sequential_ollama/gemma4:26b_w_reason,
4.0,density,0.43918367346938775,sequential_ollama/gemma4:26b_w_reason,
4.0,avg_clustering_coef,0.916233188602875,sequential_ollama/gemma4:26b_w_reason,
4.0,prop_nodes_lcc,1.0,sequential_ollama/gemma4:26b_w_reason,
4.0,radius,0.5112444372706629,sequential_ollama/gemma4:26b_w_reason,
4.0,diameter,1.0224888745413259,sequential_ollama/gemma4:26b_w_reason,
4.0,avg_shortest_path,0.5986776696038906,sequential_ollama/gemma4:26b_w_reason,
4.0,modularity,0.49428386838213956,sequential_ollama/gemma4:26b_w_reason,
5.0,density,0.4514285714285714,sequential_ollama/gemma4:26b_w_reason,
5.0,avg_clustering_coef,0.93748534614456,sequential_ollama/gemma4:26b_w_reason,
5.0,prop_nodes_lcc,1.0,sequential_ollama/gemma4:26b_w_reason,
5.0,radius,0.7668666559059943,sequential_ollama/gemma4:26b_w_reason,
5.0,diameter,1.2781110931766573,sequential_ollama/gemma4:26b_w_reason,
5.0,avg_shortest_path,0.5412930899102447,sequential_ollama/gemma4:26b_w_reason,
5.0,modularity,0.49607271205229403,sequential_ollama/gemma4:26b_w_reason,
6.0,density,0.44816326530612244,sequential_ollama/gemma4:26b_w_reason,
6.0,avg_clustering_coef,0.9227359015761762,sequential_ollama/gemma4:26b_w_reason,
6.0,prop_nodes_lcc,1.0,sequential_ollama/gemma4:26b_w_reason,
6.0,radius,0.5112444372706629,sequential_ollama/gemma4:26b_w_reason,
6.0,diameter,1.0224888745413259,sequential_ollama/gemma4:26b_w_reason,
6.0,avg_shortest_path,0.5124964644639789,sequential_ollama/gemma4:26b_w_reason,
6.0,modularity,0.4944293482768804,sequential_ollama/gemma4:26b_w_reason,
7.0,density,0.44979591836734695,sequential_ollama/gemma4:26b_w_reason,
7.0,avg_clustering_coef,0.926184229933779,sequential_ollama/gemma4:26b_w_reason,
7.0,prop_nodes_lcc,1.0,sequential_ollama/gemma4:26b_w_reason,
7.0,radius,0.5112444372706629,sequential_ollama/gemma4:26b_w_reason,
7.0,diameter,1.0224888745413259,sequential_ollama/gemma4:26b_w_reason,
7.0,avg_shortest_path,0.5158352036461546,sequential_ollama/gemma4:26b_w_reason,
7.0,modularity,0.49452900352765633,sequential_ollama/gemma4:26b_w_reason,
8.0,density,0.47020408163265304,sequential_ollama/gemma4:26b_w_reason,
8.0,avg_clustering_coef,0.9293413513434513,sequential_ollama/gemma4:26b_w_reason,
8.0,prop_nodes_lcc,1.0,sequential_ollama/gemma4:26b_w_reason,
8.0,radius,0.5112444372706629,sequential_ollama/gemma4:26b_w_reason,
8.0,diameter,0.7668666559059943,sequential_ollama/gemma4:26b_w_reason,
8.0,avg_shortest_path,0.4699275398912379,sequential_ollama/gemma4:26b_w_reason,
8.0,modularity,0.48436897183641975,sequential_ollama/gemma4:26b_w_reason,
9.0,density,0.46285714285714286,sequential_ollama/gemma4:26b_w_reason,
9.0,avg_clustering_coef,0.9379559909616714,sequential_ollama/gemma4:26b_w_reason,
9.0,prop_nodes_lcc,1.0,sequential_ollama/gemma4:26b_w_reason,
9.0,radius,0.5112444372706629,sequential_ollama/gemma4:26b_w_reason,
9.0,diameter,1.0224888745413259,sequential_ollama/gemma4:26b_w_reason,
9.0,avg_shortest_path,0.5012282197241357,sequential_ollama/gemma4:26b_w_reason,
9.0,modularity,0.4922205736432661,sequential_ollama/gemma4:26b_w_reason,
0.0,degree_centrality,0.4693877551020408,sequential_ollama/gemma4:26b_w_reason,28
0.0,degree_centrality,0.42857142857142855,sequential_ollama/gemma4:26b_w_reason,10
0.0,degree_centrality,0.44897959183673464,sequential_ollama/gemma4:26b_w_reason,5
0.0,degree_centrality,0.4693877551020408,sequential_ollama/gemma4:26b_w_reason,34
0.0,degree_centrality,0.4693877551020408,sequential_ollama/gemma4:26b_w_reason,13
0.0,degree_centrality,0.42857142857142855,sequential_ollama/gemma4:26b_w_reason,4
0.0,degree_centrality,0.4693877551020408,sequential_ollama/gemma4:26b_w_reason,46
0.0,degree_centrality,0.42857142857142855,sequential_ollama/gemma4:26b_w_reason,49
0.0,degree_centrality,0.44897959183673464,sequential_ollama/gemma4:26b_w_reason,31
0.0,degree_centrality,0.44897959183673464,sequential_ollama/gemma4:26b_w_reason,29
0.0,degree_centrality,0.4693877551020408,sequential_ollama/gemma4:26b_w_reason,22
0.0,degree_centrality,0.44897959183673464,sequential_ollama/gemma4:26b_w_reason,32
0.0,degree_centrality,0.4693877551020408,sequential_ollama/gemma4:26b_w_reason,42
0.0,degree_centrality,0.4693877551020408,sequential_ollama/gemma4:26b_w_reason,38
0.0,degree_centrality,0.4693877551020408,sequential_ollama/gemma4:26b_w_reason,0
0.0,degree_centrality,0.3877551020408163,sequential_ollama/gemma4:26b_w_reason,15
0.0,degree_centrality,0.3877551020408163,sequential_ollama/gemma4:26b_w_reason,20
0.0,degree_centrality,0.4693877551020408,sequential_ollama/gemma4:26b_w_reason,26
0.0,degree_centrality,0.44897959183673464,sequential_ollama/gemma4:26b_w_reason,8
0.0,degree_centrality,0.3877551020408163,sequential_ollama/gemma4:26b_w_reason,11
0.0,degree_centrality,0.4693877551020408,sequential_ollama/gemma4:26b_w_reason,7
0.0,degree_centrality,0.5918367346938775,sequential_ollama/gemma4:26b_w_reason,27
0.0,degree_centrality,0.4693877551020408,sequential_ollama/gemma4:26b_w_reason,37
0.0,degree_centrality,0.44897959183673464,sequential_ollama/gemma4:26b_w_reason,44
0.0,degree_centrality,0.5102040816326531,sequential_ollama/gemma4:26b_w_reason,41
0.0,degree_centrality,0.42857142857142855,sequential_ollama/gemma4:26b_w_reason,16
0.0,degree_centrality,0.44897959183673464,sequential_ollama/gemma4:26b_w_reason,14
0.0,degree_centrality,0.5102040816326531,sequential_ollama/gemma4:26b_w_reason,24
0.0,degree_centrality,0.42857142857142855,sequential_ollama/gemma4:26b_w_reason,3
0.0,degree_centrality,0.4693877551020408,sequential_ollama/gemma4:26b_w_reason,1
0.0,degree_centrality,0.4693877551020408,sequential_ollama/gemma4:26b_w_reason,9
0.0,degree_centrality,0.4693877551020408,sequential_ollama/gemma4:26b_w_reason,40
0.0,degree_centrality,0.4897959183673469,sequential_ollama/gemma4:26b_w_reason,25
0.0,degree_centrality,0.4693877551020408,sequential_ollama/gemma4:26b_w_reason,39
0.0,degree_centrality,0.4897959183673469,sequential_ollama/gemma4:26b_w_reason,43
0.0,degree_centrality,0.5102040816326531,sequential_ollama/gemma4:26b_w_reason,19
0.0,degree_centrality,0.4897959183673469,sequential_ollama/gemma4:26b_w_reason,21
0.0,degree_centrality,0.5102040816326531,sequential_ollama/gemma4:26b_w_reason,33
0.0,degree_centrality,0.3877551020408163,sequential_ollama/gemma4:26b_w_reason,30
0.0,degree_centrality,0.4897959183673469,sequential_ollama/gemma4:26b_w_reason,12
0.0,degree_centrality,0.5102040816326531,sequential_ollama/gemma4:26b_w_reason,17
0.0,degree_centrality,0.5102040816326531,sequential_ollama/gemma4:26b_w_reason,2
0.0,degree_centrality,0.44897959183673464,sequential_ollama/gemma4:26b_w_reason,35
0.0,degree_centrality,0.5306122448979591,sequential_ollama/gemma4:26b_w_reason,18
0.0,degree_centrality,0.4897959183673469,sequential_ollama/gemma4:26b_w_reason,47
