graph_nr,demo,_metric_value,save_name,metric_name
0.0,gender,1.6040819541395506,sequential_ollama/gemma4:e4b_zh,same_ratio
0.0,race/ethnicity,1.6371658845133645,sequential_ollama/gemma4:e4b_zh,same_ratio
0.0,age,1.643994387848472,sequential_ollama/gemma4:e4b_zh,same_ratio
0.0,religion,1.6553112198452433,sequential_ollama/gemma4:e4b_zh,same_ratio
0.0,political affiliation,2.0141480176037967,sequential_ollama/gemma4:e4b_zh,same_ratio
0.0,gender,0.4181838871187984,sequential_ollama/gemma4:e4b_zh,cross_ratio
0.0,race/ethnicity,0.4270446309802303,sequential_ollama/gemma4:e4b_zh,cross_ratio
0.0,age,0.7161055808505068,sequential_ollama/gemma4:e4b_zh,cross_ratio
0.0,religion,0.6630290884355732,sequential_ollama/gemma4:e4b_zh,cross_ratio
0.0,political affiliation,0.023232438173266576,sequential_ollama/gemma4:e4b_zh,cross_ratio
1.0,gender,1.7815985702840944,sequential_ollama/gemma4:e4b_zh,same_ratio
1.0,race/ethnicity,1.6896551724137931,sequential_ollama/gemma4:e4b_zh,same_ratio
1.0,age,1.6526664121165842,sequential_ollama/gemma4:e4b_zh,same_ratio
1.0,religion,1.7450142450142447,sequential_ollama/gemma4:e4b_zh,same_ratio
1.0,political affiliation,2.0080729648117335,sequential_ollama/gemma4:e4b_zh,same_ratio
1.0,gender,0.24721035137701802,sequential_ollama/gemma4:e4b_zh,cross_ratio
1.0,race/ethnicity,0.3798449612403101,sequential_ollama/gemma4:e4b_zh,cross_ratio
1.0,age,0.7331508720193727,sequential_ollama/gemma4:e4b_zh,cross_ratio
1.0,religion,0.6169024401410063,sequential_ollama/gemma4:e4b_zh,cross_ratio
1.0,political affiliation,0.029083570750237417,sequential_ollama/gemma4:e4b_zh,cross_ratio
2.0,gender,1.8515578361763472,sequential_ollama/gemma4:e4b_zh,same_ratio
2.0,race/ethnicity,1.483285075019742,sequential_ollama/gemma4:e4b_zh,same_ratio
2.0,age,1.4781878754492275,sequential_ollama/gemma4:e4b_zh,same_ratio
2.0,religion,1.9556481209630063,sequential_ollama/gemma4:e4b_zh,same_ratio
2.0,political affiliation,2.0227102412010516,sequential_ollama/gemma4:e4b_zh,same_ratio
2.0,gender,0.17982971227246036,sequential_ollama/gemma4:e4b_zh,cross_ratio
2.0,race/ethnicity,0.5654180720752707,sequential_ollama/gemma4:e4b_zh,cross_ratio
2.0,age,0.7986401137967333,sequential_ollama/gemma4:e4b_zh,cross_ratio
2.0,religion,0.5085913246964021,sequential_ollama/gemma4:e4b_zh,cross_ratio
2.0,political affiliation,0.014985809356038363,sequential_ollama/gemma4:e4b_zh,cross_ratio
3.0,gender,1.28430150376332,sequential_ollama/gemma4:e4b_zh,same_ratio
3.0,race/ethnicity,1.4565992865636148,sequential_ollama/gemma4:e4b_zh,same_ratio
3.0,age,1.2008639541522586,sequential_ollama/gemma4:e4b_zh,same_ratio
3.0,religion,1.2738877501808534,sequential_ollama/gemma4:e4b_zh,same_ratio
3.0,political affiliation,2.01271131186789,sequential_ollama/gemma4:e4b_zh,same_ratio
3.0,gender,0.7261775580741098,sequential_ollama/gemma4:e4b_zh,cross_ratio
3.0,race/ethnicity,0.5894145950280674,sequential_ollama/gemma4:e4b_zh,cross_ratio
3.0,age,0.8452312046826553,sequential_ollama/gemma4:e4b_zh,cross_ratio
3.0,religion,0.859162788534938,sequential_ollama/gemma4:e4b_zh,cross_ratio
3.0,political affiliation,0.024616188409291858,sequential_ollama/gemma4:e4b_zh,cross_ratio
4.0,gender,1.19927239910883,sequential_ollama/gemma4:e4b_zh,same_ratio
4.0,race/ethnicity,1.1557568673290475,sequential_ollama/gemma4:e4b_zh,same_ratio
4.0,age,1.1517851942454425,sequential_ollama/gemma4:e4b_zh,same_ratio
4.0,religion,1.1550684485006517,sequential_ollama/gemma4:e4b_zh,same_ratio
4.0,political affiliation,2.018528441298401,sequential_ollama/gemma4:e4b_zh,same_ratio
4.0,gender,0.8080725771403738,sequential_ollama/gemma4:e4b_zh,cross_ratio
4.0,race/ethnicity,0.8599395611614769,sequential_ollama/gemma4:e4b_zh,cross_ratio
4.0,age,0.8931135017483588,sequential_ollama/gemma4:e4b_zh,cross_ratio
4.0,religion,0.9202614652950912,sequential_ollama/gemma4:e4b_zh,cross_ratio
4.0,political affiliation,0.019013472403302912,sequential_ollama/gemma4:e4b_zh,cross_ratio
5.0,gender,1.1867731326813884,sequential_ollama/gemma4:e4b_zh,same_ratio
5.0,race/ethnicity,1.229742504726749,sequential_ollama/gemma4:e4b_zh,same_ratio
5.0,age,1.143082734426171,sequential_ollama/gemma4:e4b_zh,same_ratio
5.0,religion,1.2071010745129542,sequential_ollama/gemma4:e4b_zh,same_ratio
5.0,political affiliation,2.02762584552291,sequential_ollama/gemma4:e4b_zh,same_ratio
5.0,gender,0.8201111334270603,sequential_ollama/gemma4:e4b_zh,cross_ratio
5.0,race/ethnicity,0.7934098407108304,sequential_ollama/gemma4:e4b_zh,cross_ratio
5.0,age,0.8999672910596661,sequential_ollama/gemma4:e4b_zh,cross_ratio
5.0,religion,0.8935055043295561,sequential_ollama/gemma4:e4b_zh,cross_ratio
5.0,political affiliation,0.010251389167838253,sequential_ollama/gemma4:e4b_zh,cross_ratio
6.0,gender,1.300379683712112,sequential_ollama/gemma4:e4b_zh,same_ratio
6.0,race/ethnicity,1.2722551928783383,sequential_ollama/gemma4:e4b_zh,same_ratio
6.0,age,1.2616374519461186,sequential_ollama/gemma4:e4b_zh,same_ratio
